title,url,category,text,cluster
Simone Biles says gymnastics rivalry with friend Rebeca Andrade has ‘pushed the sport forward’,https://edition.cnn.com/2025/04/23/sport/simone-biles-rebeca-andrade-rivarly-spt,Sports,Simone Biles says gymnastics rivalry with friend Rebeca Andrade has ‘pushed the sport forward’,3
Trump administration orders University of Pennsylvania to erase transgender swimmer’s records,https://edition.cnn.com/2025/04/29/sport/university-pennsylvania-erase-transgender-athletes-records-spt,Sports,Trump administration orders University of Pennsylvania to erase transgender swimmer’s records,3
Tiger Woods’ 2005 Masters chip-in was the shot heard around the world. We almost didn’t see it.,https://edition.cnn.com/2025/04/12/sport/tiger-woods-2005-masters-chip-20-years-later-spt,Sports,Tiger Woods’ 2005 Masters chip-in was the shot heard around the world. We almost didn’t see it.,3
Japanese golfer Mao Saigo celebrates first major trophy by jumping in a pond,https://edition.cnn.com/2025/04/28/sport/mao-saigo-chevron-championship-win-spt-intl,Sports,Japanese golfer Mao Saigo celebrates first major trophy by jumping in a pond,3
Rory McIlroy says he spoke to two US Presidents after Masters victory,https://edition.cnn.com/2025/04/24/sport/rory-mcilroy-masters-victory-celebrations-golf-spt-intl,Sports,Rory McIlroy says he spoke to two US Presidents after Masters victory,3
"Rory McIlroy could go onto win 10 majors now Masters ‘shackles are off,’ says men’s captain of his hometown golf club",https://edition.cnn.com/2025/04/19/sport/rory-mcilroy-masters-trevor-heaven-holywood-spt-intl,Sports,"Rory McIlroy could go onto win 10 majors now Masters ‘shackles are off,’ says men’s captain of his hometown golf club",3
"‘Majestic,’ ‘mesmerizing,’ ‘a genius’: How the soccer world reacted to 17-year-old Lamine Yamal’s performance against Inter",https://edition.cnn.com/2025/05/01/sport/lamine-yamal-performance-champions-league-spt-intl,Sports,"‘Majestic,’ ‘mesmerizing,’ ‘a genius’: How the soccer world reacted to 17-year-old Lamine Yamal’s performance against Inter",3
Harry Maguire talks to CNN about scoring the goal of a lifetime in the ‘craziest’ game of his career,https://edition.cnn.com/2025/05/01/sport/harry-maguire-manchester-united-europa-league-spt,Sports,Harry Maguire talks to CNN about scoring the goal of a lifetime in the ‘craziest’ game of his career,3
Coco Gauff hands Iga Świątek one of the worst defeats of her career to reach Madrid Open final,https://edition.cnn.com/2025/05/02/sport/coco-gauff-iga-swiatek-madrid-open-spt-intl,Sports,Coco Gauff hands Iga Świątek one of the worst defeats of her career to reach Madrid Open final,3
Jannik Sinner says he considered walking away from tennis over doping ban,https://edition.cnn.com/2025/05/01/sport/jannik-sinner-consider-break-doping-ban-spt-intl,Sports,Jannik Sinner says he considered walking away from tennis over doping ban,3
Tennis legend Andre Agassi ousted in second US Open Pickleball match,https://edition.cnn.com/2025/05/01/sport/andre-agassi-pickleball-us-open-intl-spt,Sports,Tennis legend Andre Agassi ousted in second US Open Pickleball match,3
‘A new reality’: Novak Djokovic pulls out of Italian Open ahead of French Open,https://edition.cnn.com/2025/04/30/sport/novak-djokovic-withdraws-italian-open-intl-spt,Sports,‘A new reality’: Novak Djokovic pulls out of Italian Open ahead of French Open,3
,https://edition.cnn.com/2025/02/09/sport/gallery/super-bowl-lix-photos,Sports,,3
Gallery,https://edition.cnn.com/2025/02/09/sport/gallery/super-bowl-lix-photos,Sports,Gallery,3
Liverpool,https://www.theguardian.com/football/2025/may/05/trent-alexander-arnold-announces-that-he-is-leaving-liverpool,Sports,Liverpool,3
Premier League,https://www.theguardian.com/football/2025/may/05/premier-league-10-talking-points-from-the-weekends-action,Sports,Premier League,3
Formula One,https://www.theguardian.com/sport/2025/may/05/lewis-hamilton-ferrari-team-radio-miami-grand-prix-formula-one,Sports,Formula One,3
…,https://www.theguardian.com/sport/live/2025/may/05/county-cricket-day-four-somerset-v-essex-hants-v-durham-middx-v-kent-and-more#comments,Sports,…,3
…,https://www.theguardian.com/sport/2025/may/05/olympic-games-athletics-wellbeing-legacy#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/05/womens-super-league-championship-talking-points-from-weekends-action#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/05/premier-league-motivations-incentives-liverpool-arsenal-chelsea#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/05/internazionale-serie-a-champions-league-verona-barcelona-simone-inzaghi#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/04/from-lamine-yamal-to-mbappe-could-team-eu-build-a-european-identity#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/05/internazionale-serie-a-champions-league-verona-barcelona-simone-inzaghi#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/04/brighton-newcastle-premier-league-match-report#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/04/brentford-manchester-united-premier-league-match-report#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/may/04/west-ham-tottenham-premier-league-match-report#comments,Sports,…,3
…,https://www.theguardian.com/sport/2025/may/02/bbc-twos-chess-masters-the-endgame-divides-opinions-as-winner-is-crowned#comments,Sports,…,3
…,https://www.theguardian.com/sport/2025/apr/30/hats-off-to-the-county-cap-the-players-headwear-with-a-mystical-symbolism-cricket#comments,Sports,…,3
…,https://www.theguardian.com/sport/99-94-cricket-blog/2025/apr/29/county-cricket-talking-points-notts-surrey-sussex-division-one#comments,Sports,…,3
…,https://www.theguardian.com/football/picture/2025/apr/29/david-squires-on-liverpool-20th-league-title-arne-slot-hard-to-please-people#comments,Sports,…,3
…,https://www.theguardian.com/football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft#comments,Sports,…,3
…,https://www.theguardian.com/sport/2025/apr/21/rory-mcilroy-john-mcenroe-roger-federer-harriet-dart-emotion-performance-elite-sport#comments,Sports,…,3
Zhao Xintong beats Mark Williams 18-12 to become China’s first world snooker champion – as it happened,https://www.theguardian.com/sport/live/2025/may/05/zhao-xintong-v-mark-williams-world-snooker-championship-final-live,Sports,Zhao Xintong beats Mark Williams 18-12 to become China’s first world snooker champion – as it happened,3
Zhao Xintong beats Mark Williams to become China’s first snooker world champion,https://www.theguardian.com/sport/2025/may/05/zhao-xintong-beats-mark-williams-to-become-first-chinese-snooker-world-champion,Sports,Zhao Xintong beats Mark Williams to become China’s first snooker world champion,3
A $15m jockeys racing league would relegate real stars to supporting role,https://www.theguardian.com/sport/blog/2025/may/05/a-15m-jockeys-racing-league-would-relegate-real-stars-to-supporting-role,Sports,A $15m jockeys racing league would relegate real stars to supporting role,3
Maro Itoje’s chance of Lions captaincy grows with Caelan Doris set for surgery,https://www.theguardian.com/sport/2025/may/05/lions-ireland-captain-caelan-doris-operation-shoulder-injury-rugby-union,Sports,Maro Itoje’s chance of Lions captaincy grows with Caelan Doris set for surgery,3
Jochen Mass obituary,https://www.theguardian.com/sport/2025/may/05/jochen-mass-obituary,Sports,Jochen Mass obituary,3
Jannik Sinner sets low expectations as he returns from doping ban at Italian Open,https://www.theguardian.com/sport/2025/may/05/jannik-sinner-setting-low-expectations-as-he-returns-from-doping-ban-at-italian-open,Sports,Jannik Sinner sets low expectations as he returns from doping ban at Italian Open,3
Norris aggression backed by McLaren despite it proving costly in Miami,https://www.theguardian.com/sport/2025/may/05/norris-aggression-backed-by-mclaren-despite-it-proving-costly-in-miami,Sports,Norris aggression backed by McLaren despite it proving costly in Miami,3
"County cricket day four: Somerset beat Essex, Middlesex edge Kent and more – as it happened",https://www.theguardian.com/sport/live/2025/may/05/county-cricket-day-four-somerset-v-essex-hants-v-durham-middx-v-kent-and-more,Sports,"County cricket day four: Somerset beat Essex, Middlesex edge Kent and more – as it happened",3
Lewis Hamilton unapologetic for terse exchange with Ferrari at Miami Grand Prix,https://www.theguardian.com/sport/2025/may/05/lewis-hamilton-ferrari-team-radio-miami-grand-prix-formula-one,Sports,Lewis Hamilton unapologetic for terse exchange with Ferrari at Miami Grand Prix,3
Judd Trump calls on snooker to stamp out rowdy ‘darts atmosphere’ at events,https://www.theguardian.com/sport/2025/may/04/judd-trump-calls-snooker-stamp-out-darts-atmosphere-world-snooker-championship,Sports,Judd Trump calls on snooker to stamp out rowdy ‘darts atmosphere’ at events,3
Zhao Xintong beats Mark Williams 18-12 to become China’s first world snooker champion – as it happened,https://www.theguardian.com/sport/live/2025/may/05/zhao-xintong-v-mark-williams-world-snooker-championship-final-live,Sports,Zhao Xintong beats Mark Williams 18-12 to become China’s first world snooker champion – as it happened,3
Live,https://www.theguardian.com/us-news/live/2025/may/05/donald-trump-tariffs-film-industry-alcatraz-russia-israel-us-politcs-live-updates,Sports,Live,3
Trump’s movie tariffs are designed to destroy the international film industry,https://www.theguardian.com/film/2025/may/05/trumps-movie-tariffs-are-designed-to-destroy-the-international-film-industry,Sports,Trump’s movie tariffs are designed to destroy the international film industry,3
"Middle East crisis: Gaza offensive includes ‘wide-scale attack’ and ‘moving majority of the population’, says IDF – as it happened",https://www.theguardian.com/world/live/2025/may/05/israel-gaza-yemen-middle-east-crisis-live-updates,Sports,"Middle East crisis: Gaza offensive includes ‘wide-scale attack’ and ‘moving majority of the population’, says IDF – as it happened",3
Wisconsin woman missing for more than 60 years found ‘alive and well’,https://www.theguardian.com/us-news/2025/may/04/wisconsin-woman-missing-found,Sports,Wisconsin woman missing for more than 60 years found ‘alive and well’,3
The one change that worked: I could never get fit – until I tried a 40-second plank every day,https://www.theguardian.com/lifeandstyle/2025/may/05/the-one-change-that-worked-i-could-never-get-fit-until-i-tried-a-40-second-plank-every-day,Sports,The one change that worked: I could never get fit – until I tried a 40-second plank every day,3
Announcement of Israel’s Gaza occupation plan is carefully timed,https://www.theguardian.com/world/2025/may/05/netanyahu-announces-gaza-occupation-plan-with-close-attention-to-timing,Sports,Announcement of Israel’s Gaza occupation plan is carefully timed,3
Romania’s pro-EU prime minister resigns as Trump ally eyes presidency,https://www.theguardian.com/world/2025/may/05/far-right-first-round-win-romanian-presidential-election-george-simion-prospect-eu-disruption,Sports,Romania’s pro-EU prime minister resigns as Trump ally eyes presidency,3
‘It normalises the abhorrent’: is The Handmaid’s Tale the most frustrating show on TV?,https://www.theguardian.com/tv-and-radio/2025/may/05/it-normalises-the-abhorrent-is-the-handmaids-tale-the-most-frustrating-show-on-tv,Sports,‘It normalises the abhorrent’: is The Handmaid’s Tale the most frustrating show on TV?,3
"Spain: cable theft that caused rail chaos was ‘act of sabotage’, says minister",https://www.theguardian.com/world/2025/may/05/spain-cable-theft-that-caused-rail-chaos-was-act-of-sabotage-says-minister,Sports,"Spain: cable theft that caused rail chaos was ‘act of sabotage’, says minister",3
